Вопрос,Ответ
"Иван, добрый день!  Извините за беспокойство! Подскажите, пожалуйста, есть ли возможность у администратора проверить кто из учителей не заполнил КТП и все ли учителя выдали домашние работы на сл. урок?","Да, в разделе Требует решения. В верхней строке красный восклицательный знак."
"Подскажите, пожалуйста, алгоритм действий учителя на уроке:1) отметить отсутствующих ( или это должен делать классный руководитель?)2) выставить оценки(для этого выбрать тип работы)3) выдать дз.4) Обязательно ли отмечать сформированные за урок результаты?И где администратор может проконтролировать что все учителя закрыли уроки.","Учитель на уроке отмечает отсутсивующих.Выставляет отметки. Если нужно комментарии, тогда лучше выбрать расширенный режим выставления отметок. Если отметки надо поставить быстро, то лучше выбирать быстрый режим выставления отметок. Выбор режима находится на верхней панели. Обязательно выбрать форму контроля.Задать домашнее задание."
"А если родители писали отказ на согласие об обработке. Их нет в системе. Их добавить надо, потом деперсон? Они ж не дадут свои данные..)","Посмотри выше от меня сообщение, подробно расписал что делать"
"При создании замены хотели обьединить группы по ин.яз, но система замену не ставит, говорит что у учителя уже есть урок( во 2 группе класса). По положению мы вправе ставить такие замены и объединять группы. Что делать?","Да, они действительно могут ставить такие замены. Странно, что система не даёт. Раньше с этим не было проблем. Спрошу."
"Чехов, МБОУ Дубненская СОШВ разделе ""Мои классы"" есть 2а и 2б.Но при попытке привязать поурочные план к группам поиск ничего не выдает.Изучила еще раз инструкцию и ничего не нашла по этому поводу. Поделитесь, как преодолеть этот затык.","Проверить количество учебных недель (не менее 36), проверить дидактические единицы на каждом уроке."
"МОУ СОШ 18, г.о. Павловский Посад.У нас начало учебного года осталась вакансия на русский язык и литературу. Как отражать в расписании? Уроки проводится будут, но по замене, только как бы это и не замена((( подскажите, что делать???",Поставить пока виртуального учителя и ставить замены.
ГАОУ МО «Долгопрудненская гимназия»,"Подскажите, пожалуйста, такой момент. Ребенок есть в эжд, но распределить на группы его не могу, серым подсвечивается. Что делать?"
"МБОУ СОШ 30, г.о. КоломнаПроизошел глюк в расписании. При попытке поставить урок в 10-м классе, вылезает ошибка(на фото). Детей проверили, учебные планы привязаны верно, ученики в группах числятся",Состав гоурр проверили? Именно этого ученика.
"При создании учебных планов старшего звена мы делили математику на алгебру , геометрию и вероятность. Все часы мы суммировали и проставляли их в математику., Так как наша математика делиться на эти предметы. Теперь я расставляю предметы алгебра , геометрия и теория вероятности в расписание, и у меня есть соответственно три журнала этих предметов, но вместе с ними у меня есть предмет математика, который высвечивается как непроставленный     и есть еще отдельный журнал математики. Что с этим делать?",На предмет математика (без разделения) не назначать учителя. Этот предмет остаётся. Ничего  вносить в журнал не нужно. Он понадобиться при заполнении аттестатов.
Добрый день. Как добавить название курса по внеурочной деятельности? В списке нужного названия нет,"Нам обещали ответить на этот вопрос. Пока не сказали, что делать."
"Почему не можем удалить ненужный 1В класс? Мы перенесли вчера вечером детей в нужный класс, зачистили Обручет. Класс удалить не дает система. Сегодня проснулись. все опять перемешано и дети задвоились в этот ненужный 1В. как нам его удалить, чтобы каждый день не было этой синхронизации?",Инн школы?
Если ребёнок с семейного обучения возвращается в класс. Заявление заявление на перевод или на приём?,Приём должен быть. Он же в списках не числился.
"Добрый день.Коллеги, подскажите следующий момент: в 10 и 11 классах есть безотметочные курсы по выбору в учебном плане( прктикум по матике и практикум по русскому), которые невозмжно внести в расписание. Может быть кто- то тоже сталкивался с этим моментом.",А в чем проблема. Безотметочные курсы вносятся.
"Извините за назойливость, но у меня еще один вопрос. У нас на предметах по выбору стоит 0 учеников, что бы они там появились, дети должны что-то сделать на своих страницах?",Надо назначить учеников в группах и учащихся
"Почему не можем удалить ненужный 1В класс? Мы перенесли вчера вечером детей в нужный класс, зачистили Обручет. Класс удалить не дает система. Сегодня проснулись. все опять перемешано и дети задвоились в этот ненужный 1В. как нам его удалить, чтобы каждый день не было этой синхронизации?",Инн школы?
"Здравствуйте! МОУ Кадетская школа го ЛюберцыПомогите пожалуйста, удалить из расписания скопированный предмет. Скопировала расписание и вставила, а там вместо родной лит надо поставить род язык.Предмет теперь в расписании светиться красным и удалить не дает.Спасибо большое",Попробовать удалить в расписании учителей.
"Добрый день! Извините за беспокойство в выходной. Но мы не можем получить доступ в электронный дневник, потому что у Ани Тарасовой свидетельство о рождении иностранного образца, в связи с этим для неё нельзя создать учётную запись на госуслугах. На госуслугах можно создать учётную запись для ребенка только с российским ( ! ) свидетельством о рождении. Я была сегодня в МФЦ, но ситуация не прояснилась. Вы не могли бы узнать у завуча или того, кто в школе курирует этот вопрос, что нам делать? Как нам получить доступ ?Вот сообщение родителей, которые по Вашей инструкции регистрируются. Что мы ещё можем сделать, если госуслуги не позволяют зарегистрировать ребёнка?","Это не так, в МФЦ есть модуль верификации иностранного СОР"
"Столкнулись с такой проблемой. Во 2 шаге при планировании «связь поурочных планов с группами», выбрали необходимый план, он прикрепился. Но почему-то не горит зеленый кружочек. Так может быть? Хотя в 3 шаге, по этому же предмету, получилось проставить даты.",Неожиданная ситуация. А в самом журнале темы уроков появились?
"❓дайте ответ по УП для 11 класса. Никто не понимает❗у нас по старым ФГОС есть предмет математика алгебра и начала мат, геометрияВероятность и статистикаКакой шаблон мы должны выбрать???","Правильно ли я понимаю, что им нужен предмет вероятность и статистика?"
"Подскажите, в чем проблема.В носила учеников вручную, но в ЭЖ не перенеслась одна девочка. У неё в обручете указано, что СОР не прошло валидацию. Но я вбивала прям по фото свидетельства",Проверить корректность номера СОР и даты выдачи
Это не тот предмет. По старым ФГОС должна быть ещё геометрияПо старым ФГОС на математику 5 ч..,Тау чуть ниже есть геометрия. Геометрия есть в любых фгос!!!
"МОУ СОШ № 12 с УИОП _Егорьевск __3 заявления на перевод зависли . В ПРИКАЗЕ  НА комплектование не работает кнопка ""сохранить "". Написала в техподдержку ! НЕТ ответа ! заявка  SD25087916.",Попросите ссылки на заявления
У родителей при регистрации выходит такое окно и дальше никак.  В чем может быть ошибка? В списке класса ребёнок есть,На каком сайте они регистрируются?
"Что делать в случае, когда родитель видит только одного из детей. Как пример: дети двойняшки, в одном классе. Идентификатор мамы, и её данные полностью в Обручете совпадают. Но видит мама только одного из детей",В госуслугах проверить привязку обоих детей
Тау чуть ниже есть геометрия. Геометрия есть в любых фгос,"Нет в 11 кл такого предмета как геометрияЕсть предмет... Математика алг и начала анализа, геометрия"
"Нет в 11 кл такого предмета как геометрияЕсть предмет... Математика алг и начала анализа, геометрия","В фгос есть предмет математика, который делится на три дочерних предметам: алгебра и начала математического анализа, геометрия, вероятность и статистика. Не пойму, где нет геометрии?"
"Добрый вечер. Анна, писала техподдержку, жду и не дождусь. Дети зачислены во 2в класс. В обруч все верно, они во 2в. Но в Эж они в 3в. Как их перекинуть именно в эж в нужный класс.",Номер обращения в стп?
"Не подъехали до сих пор в ЭЖД 3 человека из первых классов, которых я позавчера туда-сюда переводила.17 человек приехали, а эти еще в пути, видимо.Ждать?Или в Обруче их отчислять и заново зачислять?",Попробовать второй вариант
"10-е классы так у нас и не появились, ждать или создать шаблон по контингенту и отправить в СТП?ИНН ОО 5032036471.","Надежнее вбить вручную, если в шаблоне будут ошибки или не все поля заполнены, загрузка не пройдет"
"Помогите, пожалуйста. это класс с двумя УП по профилям, по химии, физике, биологии есть метагруппы, но только по биологии пропала возможность детей менять, но причем видно, что 16 учеников, что делать?",В верхней строке числовые маркеры должны быть разными.
В обручете был 1 первый класс - в ЭЖД образовалось 2 первых класса. Это было на 29.08.Сейчас в обручете 3 первых класса в ЭЖД по-прежнему 2 первых класса. У нас в школе всего 1 класс. Как перевести все в соответствие? СПТ не ответило на наш запрос от 29 августа N SD 25006163.,В обручете всех учеников перевести в один класс. В ЭЖ ненужные классы удалить через обращение в СТП
"Как учителю увидеть ДНЕВНИК СВОЕГО РЕБЕНКА?!?!  По ссылке захожу на страницу как администратор, в приложении ""Дневник""- такой учетной записи нет!!!",Обращение в стп
Как в аттестацию педагогов зайти? Где взять логин и пароль?Или аттестацию еще не подтянули?,Аттестация педагогов пока остается в ШП
"По старым ФГОС есть один предмет, на который выдано 5 часов. Он так и называется математика: алг и начала анализа, геометрияМы работаем вечно в школе🙃а кто все это придумал вообще ничего не понимают❗а только нагородили такое, что сами не разгребутКак быть с предметом по старым ФГОС.????? Главный вопрос, на который я уже с середины августа не понимаю. Его нет в вашей системе",В старых ФГОС нет вероятности.
"го Воскресенск МОУ Лицей им.Стрельцова ПВ. Назначили ученику надомное обучение , из списка класса он вышел в класс с литерой НДО, но в списках контингента этого класса нет, а также нельзя назначить ученику учителей . что делать?",Для надомника в базовом сценарии создается виртуальный класс с пометкой НДО. это дает возможность прикрепить к нему свой режим пребывания и ставить учителей не в сетке класса
У меня вопрос: в школе нет учителя математики в расписание я ставлю виртуального учителя. Могу ли я на виртуального учителя ставить замены?,Да
"Вопрос: Дети от 10 до 14 лет заходят по учетке, которую им создали родители. Так.А вот когда ребенку исполняется 14 - им новую учетку надо будет создавать от себя лично? Или та, созданная родителями, так с ними и будет дальше?Просто есть дети, которым недели через три уже исполняется 14 лет... Родители не хотят танцевать с бубнами в Госуслугах. Типа чтоб 2 раза не вставать. А то сейчас они создадут, потом детям самим опять надо будет создавать...","Это вопрос по работе Госуслуг, необходимо уточнить на соответствующем сайте"
Как добавить свое название внеурочной деятельности и коррекционных курсов,"К сожалению, кроме ссылки на инструкцию, ничего нет."
"Можно по надомникам хоть инструкцию прислать, уже несколько раз расписание сносила. У нас у учителя в классе 3 часа , а у надомника 2. Медиагруппы не помогают. Как котята слепые.",Для надомника в базовом сценарии создается виртуальный класс с пометкой НДО. Это дает возможность прикрепить к нему свой режим пребывания и ставить учителей не в сетке класса.
"Добрый вечер, прошу прощения за позднее сообщение. У нас у нескольких учителей проблема с созданием своего поурочного планирования, многочасовая работа насмарку, ничего не сохранилось дважды. Тех поддержка помолчит, возможно вы сможете нам помочь",По каким предметам создают? В чем именно проблема возникает?
"Напомните, а админы где могут посмотреть какое  количество недель выставленно?",Где выставлено?
"г.о. Кашира МБОУ СОШ 3    Как добавить в УП надомника нагрузку: 0,25 часа, 2,25 часа, 0,75 часа?????","Считать целыми числами.Например, 0,25 часа ставить 1 раз в 4 недели. 0,75 часа ставить 3 раза в четыре недели..и т.д"
"Добрый день. Объясняю ситуацию. Две школы находятся в комплексе. Ученик из одного здания переходит на обучение в другое здание, и в обручете и в ЭЖ  он есть. Родители видят расписание уроков из другого здания, из нашего здания расписание уроков не видят. В чем причина? Прошу ответить оперативно!",В стп
"Подскажите, что за глюк? В УП 9 класса на математику 6 часов: 3,2,1, далее появляется ещё предмет математика отдельно на 6 часов. В расписании распределила эти 6 часов на 3 предмета и ещё математика 6 уроков осталось лишних. Посчитала вручную 33 часа, если удалю математику, пропадают часы в УП и там становится 27. Вот фото",На математику не надо назначать учителя.
"Для обучающихся с умственной отсталостью (интеллектуальными нарушениями) необходимо создать образовательную программу НОО/ООО, но с адаптированностью? Потом для неё создать класс с пометкой НДО, а далее, как мы делаем с обычным классом? Такой алгоритм?","Если это для надомного обучения, то да."
МБОУ гимназия 2 ЧеховЗа ночь в ЭЖД не произошло слияния карточек учителей с виртуальным учителем,Создать обращение в СТП
"У нас в сетке расписания время начала уроков перепутано. Как быть? Как уроки ставить, по очередности, или по времени?",Что значит перепутано? Проверить режим пребывания. С чем вообще перепутано?
"Не поможет. Уже давно так, в ТП писали,  ответа нет. Вопрос кураторам: чтобы отвязать учебный план, удалили все расписание. Теперь уроки на 1-2 сентября поставить не можем. Как быть? Как учителям переприкреплять планирование. Ещё и мешанина из времени уроков в сетке расписания одного из классов. Исправьте нам ее пожалуйста! И урок в 8 классе 02 сентября удалите, пожалуйста. У нас не получается",Передам в Москву.
"Добрый день. Столкнулись с такой проблемой : количество учеников в обручете и в ЭЖ одинаковое. В журналах по предметам  другая цифра . Нет новых учеников, которых принимали по заявлению. Или эти дети подгрузятся позже? Или писать в тех поддержку?",В стп
"Доброе утро. Если внеурочку не успели поставить в расписание, то это уже нельзя сделать? Разговоры о важном поставить на сегодня не получается((",Велика вероятность невозможности проставить какую-то активность задним числом.
"Как создать поурочные планы на 0,5 часа , там только 36 часов пропускает","Создать на 36 часов, основные темы ""уложить"" в необходимые 17-18 часов, остальное - повторение."
"Добрый вечер, прошу прощения за позднее сообщение. У нас у нескольких учителей проблема с созданием своего поурочного планирования, многочасовая работа насмарку, ничего не сохранилось дважды. Тех поддержка помолчит, возможно вы сможете нам помочь",По каким предметам создаете? В чем именно проблема возникает?
"Химия11, 10 класс углубленка, педагог вносит свое планирование и оно слетает и не сохраняется уже дважды","Проверить количество учебных недель (не менее 36), проверить наличие дидактических единиц на каждом уроке."
"Добрый день.  Подскажите пожалуйста,  у 11 классов индивидуальные планы. И по расписанию одновременно формируется группа из 11А и 11Б, которая идет на урок к одному педагогу. Возможно ли в ЭЖД создать расписание для 11А и 11Б таким образом, чтобы оба класса видели  расписание? Программа ЭЖД не дает одновременно двум классам загрузить расписание для двух классов.  Написано, что для одного уже класса (11А) прикреплен данный учитель. И 11Б соответсвенно остался без предметов, которые сдвоены с 11А. Что нам делать и как можно выйти из ситуации?",Один ученик не сможет видеть расписание двух классов. На каждый класс свое расписание. Но администратор может в фильтрам выбрать параллельно два 11 класса и видеть оба расписание. Для объединения групп из двух и более классов используются метагруппы.
"Здравствуйте, Дмитрий! Позвольте задать несколько вопросов по поводу ЭНШ. Цитата:Уважаемые коллеги, информация по работе с эффективной начальной школой!1. Создать единый календарный учебный график для класса.2. Создать учебный план для 1 класса отдельно.3. Создать учебный план для 2 класса отдельно.4. В декабре перевести обучающихся из 1 класса во 2 класс через обручет.Наличие единого календарного учебного графика позволит сделать корректную привязку в новому учебному плану из пункта 3._______________________________________________Хотел бы уточнить, единый календарь подразумевает такой же календарь как и для 2-8,10 классов? И, правильно я понимаю, что сформировать расписание на второе полугодие для 2 класса ЭНШ у нас сейчас не выйдет?","Да, как для 2 классов"
"Здравствуйте. Скажите, как быть? Писали, что синхронизация 1 и 10 будет, в итоге ничего нет. Писала в поддержку, чтобы удалили учителей, тоже вопрос не решен. Учителя, которого я добавила в обручет в эж не почвился😡родителей половины нет.",1 и 10 классы необходимо вносить руками. Учителей возможно отчислить приказом через обручет
"Дмитрий Игоревич, добрый вечер. Если у нас режим внесён не верно и звонки отображаются в расписании по 40 минут вместо 45 минут, можно это как-то поправить, не трогая расписание?",Никак. Переделывать.
Для учеников с ОВЗ составляется свои учебные планы с пометкой алаптированная программа.Надомное обучение строится в соответствии с документами школы.Учебный период составляется на конкретного надомника.,"Учебные планы составлены, режимы пребывания есть, но как прикрепить режим пребывания?В инструкции только через надомное обучение, а у нас все дети приходят в школу для индивидуального обучения"
"Дмитрий, скажите, пожалуйста, как выставить замену педагогу во внеурочной деятельности. Педагог на больничном, надо на этот урок назначить другого педагога, а я не могу разобраться как это сделать во внеурочной деятельности. Спасибо",Внеурочная деятельность - расписание
"Добрый день! Можете передать разработчикам данного портала, чтобы они добавили нужные данные в Журнал класса при выгрузке в Excel (дата рождения).",Хорошо
Меня интересует надомное обучение. На каждого надомника нужно создать свой класс?,Для надомника в базовом сценарии создается виртуальный класс с пометкой НДО. это дает возможность прикрепить к нему свой режим пребывания и ставить учителей не в сетке класса
"МБОУ Полурядинская СОШ, Коломна. При постановке на учет выдает такую ошибку. Подскажите, что делать","дубли телефонов, надо удалить их и оставить один"
Добрый день. Надо исправить режим пребывания. Как правильно внести изменения?,Полностью всё переделывать
"Как отменить уроки у одного учителя (например, больничный лист)?","Уроки не отменяются, а выставляется замена через раздел расписание - замены."
"Подскажите пожалуйста, добавляла к данному уроку формы контроля, а их высвечивается только две. И тема: если нет наших как можно добавить? 😌",Темы надо менять в поурочное планировании
"Вчера я писала про инструкцию для детей, у которых свидетельство ин гражданина... Мама и папа имеют паспорта РФ, сын тоже гражданин РФ, но свидетельство о рождении ин образца Эта инструкция не подходит. Как таким детям пройти регистрацию. Родители переживают очень, тк ребёнок ответственный, учится на отлично и всегда следит за размещением ДЗ. На данный момент он войти не может. Как помочь таким детям???","Запросили у разработчиков корректный механизм занесения таких детей, ожидаем информацию"
"Учебные планы составлены, режимы пребывания есть, но как прикрепить режим пребывания?В инструкции только через надомное обучение, а у нас все дети приходят в школу для индивидуального обучения",Они учатся по отдельным режимам или режим пребывания общий?
"Вот смотритеВ первый класс зачислены 6 человек, 5 человек обучаются по ОП НОО, а одна девочка ребёнок-инвалид (у неё адаптированная образовательная программа для обучающихся умственной отсталостью (интеллектуальными нарушениями). Она приходит в школу на несколько уроков в день, у неё другие предметы и преподают 2 педагога: 1 педагог учитель 1 класса и учитель адаптивной физкультуры. Такая же система в других классах, в которых обучаются дети-инвалиды, ОВЗ. Как их вывести из общего класса, чтобы создать отдельное расписание?","Создать отдельные классы с пометкой НДО  и сделать всё, как при надомном обучении."
"Скажите, как убрать это пустое время? Из-за него не можем изменить режим пребывания",Что значит пустое время?
МАОУ Лицей г.о. БронницыПропало расписание у 1АПрошу разобраться с этим,ИНН школы?
"Если мама написала отзыв согласия об обработке персональных данных своего ребёнка, требует вести на ее ребёнка бумажный журнал, то нужно этого ученика отставлять в системе ?","Детей по которым родители не дали согласия на обработку ПД вносить в систему нельзя. Если в ходе работы с родителями не удалось их убедить в необходимости контроля за процессом обучения их ребенка в системе, то для таких учеников оценки выставляются в бумажном табеле. Функционал внесения обезличенной учетной записи в разработке, будет доступен в скором времени."
"Подскажите пожалуйста, сделала учебный план для АОП прикрепила к ребенку. Выбрала учителя на предметы. Как сочтавлять расписание, учитель один и тот же как у класса",Скорее всего система понимает его отдельно от класса. Передам информацию.
Невозможно прикрепить учителя к предметам в 1-в классе. Все параметры выставлены правильно. Проверяли.,Проверить назначение учителя на класс и на группы по предметам.
"АННА, ПОМОГИТЕ, ПОЖАЛУЙСТА! Коррекционная школа. Дети в одном классе у одного учителя обучаются по разным вариантам (1 и 2 вариант), по разным учебным планам. Основное расписание (для 1 варианта) я сделала. Как теперь сделать расписание для 2 варианта (СИПР)?",Назначать ваюиртуального учителя или тьютора.
"Добрый день. Прошу прощения, пишу лично. Реутов, МБОУ 'Начальная школа- детский сад Лучик'. Составила расписание как админ на школу, а внеурочку 1 урок понедельника 'Разговоры о важном' не поставила. Мне сейчас совсем всё переделывать? Можно ли по другому?",Не переделывать. Внеурочка в другом разделе.
1 сентября возможно будет изменить ошибочно поставленные уроки? Сейчас система не дает этого сделать,Нет
"Добрый день.Если расписания нет вообще ещё в школе,как тогда его внести на прошедшие дни?Не могу сделать расписание,всегда слетает,то нагрузка то прикрепление",Можно попробовать копированием
"Если обучающийся обучается на дому, Какое здание ему привязывать, без здания ничего сделать не дает",Школу
"г.о. Зарайск МБОУ ""Лицей №5"" Подскажите пожалуйста, после сегодняшнего сбоя в распределения по часам на уроке технологии у 8а класса в группе мальчиков стоит 0, не могу поставить урок.  В УП все правильно. Уже их пересохранила, удалила расписание, назначила детям новые УП не помогло.",Проверить привязку учеников к группе
"В личной карте ученика ставить надомное обучение, если он приходит в школу? Или НДО ставить только при создании класса?",Ставить
Ещё вопрос: можно КТП предмета скачать себе?,Посмотреть. Должна быть выгрузка в Excel
"Напомните, пожалуйста, как сделать рабочую субботу",В режиме пребывания
"Коллеги, не могу выдать расписание на завтра и другие дни 9 и 11 классам, остальным могуВ чем проблема, кто подскажет?",Не подскажите?
"Коллеги, добрый день! Подскажите тундре, как добавляются формы контроля? Их в предметах надо прописывать, или куда тыкать, в какой раздел лезть? Инструкцию предлагать бесполезно, я неграмотный",Формы контроля есть в разделе справочники. С ними можно ознакомиться. они прописаны по каждому предмету.
"А что делать, если не сохраняются данные законного представителя? У нескольких детей попыталась, но система замирает. Глюк?","сейчас сбои в обручете, из-за этого может не сохраняться"
При назначении внеурочной деятельности высвечивается график  не по урокам. Учителя эту внеурочки не видят! Что мы делаем не так! Работаем по инструкции.,Всё правильно
"Необходимо внести изменения в УП в 11 классе, который поделён на профили. Но система не открепляет двух последних учащихся от УП.","Создать дату окончания первого учебного плана сегодня, а с завтрашнего дня прикрепить новый учебный план."
"Здравствуйте, Иван. Извините, что пишу в личку. Но не понимаю, что за ошибка? Не подскажете? Все как и в других классах сделано.",Обращение в стп
"Как быть, если добавили в раздел  внеурочки разговор о важном. А к расписанию первым уроком в понедельник он не встает, а в любые другие дни ставится . Как быть",Он должен стоять только в понедельник на первом уроке.
"@DeryuginaEA Елена, у нас с завтрашнего дня к работе приступает новый сотрудник, а расписание уже составлено на другого. Как правильно внести изменения?",В стп
"Ребёнок обучается с 1 сентября индивидуально (надомно в системе), учебный план разработан и прикреплен индивидуальный с 1 сентября по 31 августа (режим тоже создан отдельно для этого ребёнка). Какие даты надо ставить, чтобы можно было перевести на индивидуальное (надомное) обучение?",Даты стоят правильно
"Здравствуйте Подскажите пожалуйста почему не выбирается учитель по ОРКСЭ, педагогам предмет этот в справочнике назначен",К группам привязали?
А привязку на надомное сделать не дает,"Проверить привязку этого ученика к другому учебному плану. Если его сначала привязали к учебному плану класса, то тогда ему необходимо поставить дату окончания привязки сегодняшнюю. После этого ставить период надомного обучения с завтрашнего дня, чтобы не было пересечений."
